feature,gain,split
PREV_HOUR_APPR_PROCESS_START_MAX,4682.56931180954,233.4
APPROVED_DAYS_FIRST_DUE_MIN,4658.593029880523,215.8
APPROVED_APPLICATION_CREDIT_RATIO_MIN,4636.980805253983,231.8
INS_DPD_MEAN,4625.398444795608,221.6
NAME_INCOME_TYPE,4605.501845026016,163.4
REFUSED_APPLICATION_CREDIT_RATIO_MEAN,4593.9771439552305,224.9
REFUSED_AMT_CREDIT_MAX,4587.369063711167,211.7
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MEAN,4547.947762775421,222.5
PREV_ACTIVE_AMT_APPLICATION_MAX,4543.920175170899,231.1
REFUSED_AMT_APPLICATION_MAX,4519.618652963638,209.3
INS_36M_PAYMENT_RATIO_MEAN,4517.707785034179,169.9
PREV_PRODUCT_COMBINATION_POShouseholdwithinterest_MEAN,4515.995035552978,238.7
REFUSED_CNT_PAYMENT_MEAN,4501.419948291778,194.0
REFUSED_APPLICATION_CREDIT_DIFF_MIN,4493.45522723198,200.7
PREV_Cash_APPLICATION_CREDIT_RATIO_MAX,4470.050963068008,229.9
BUREAU_CREDIT_TYPE_Creditcard_MEAN,4464.578871679306,229.9
BUREAU_MICROLOAN_DAYS_CREDIT_MEAN,4451.861087417603,122.1
INS_24M_CNT_DRAWINGS_ATM_CURRENT_MEAN,4442.412451076508,100.8
BUREAU_MONTHS_BALANCE_MEAN_MEAN,4409.077809000015,227.9
BUREAU_MONTHS_BALANCE_MEAN_VAR,4364.837575006485,239.0
BUREAU_STATUS_X_MEAN,4358.83368382454,249.7
APPROVED_DAYS_DECISION_MIN,4354.626927947998,207.0
PREV_NAME_YIELD_GROUP_low_action_MEAN,4353.099262952805,200.7
INS_AMT_PAYMENT_MAX,4282.933087444306,198.4
PREV_LAST12M_APPLICATION_CREDIT_DIFF_MIN,4282.202388477325,219.9
PREV_NAME_PRODUCT_TYPE_walkin_MEAN,4279.593571901321,161.0
BUREAU_LL_AMT_CREDIT_SUM_OVERDUE_MEAN,4250.725046157837,236.0
REFUSED_APPLICATION_CREDIT_DIFF_MEAN,4242.393788719177,191.3
BUREAU_CREDIT_TYPE_Consumercredit_MEAN,4242.004271030426,219.0
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_SUM,4226.444934463501,221.3
WEEKDAY_APPR_PROCESS_START,4199.174539184571,263.6
PREV_ACTIVE_AMT_PAYMENT_SUM,4184.119783639908,218.1
PREV_CHANNEL_TYPE_Countrywide_MEAN,4177.343920135498,219.4
INS_SIGNIFICANT_LATE_PAYMENT_MEAN,4169.933055305481,202.0
INS_12M_LIMIT_USE_MEAN,4165.6683372020725,126.9
FLOORSMAX_AVG,4155.43304028511,188.1
PREV_LAST12M_SIMPLE_INTERESTS_MEAN,4137.897237443924,211.6
PREV_NAME_YIELD_GROUP_low_normal_MEAN,4135.389263868332,214.3
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MEAN,4124.312010383606,165.0
BUREAU_CLOSED_STATUS_12345_MEAN,4109.048065519333,204.8
PREV_LAST12M_AMT_ANNUITY_MAX,4103.1572466373445,218.6
BUREAU_AMT_ANNUITY_MEAN,4090.8926537513735,227.0
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MAX,4079.776899147034,183.2
BUREAU_MICROLOAN_DAYS_CREDIT_MAX,4003.5484401226045,120.3
BUREAU_MONTHS_BALANCE_SIZE_SUM,3998.2330813884737,215.0
BUREAU_ACTIVE_CREDIT_TO_ANNUITY_RATIO_MEAN,3993.7970005989073,223.5
POS_SK_DPD_DEF_MAX,3988.54715051651,164.2
INS_60M_AMT_PAYMENT_MAX,3987.6899034023286,189.1
PREV_NAME_YIELD_GROUP_XNA_MEAN,3967.4608339786528,199.5
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MEAN,3946.5120952129364,185.0
LAST_LOAN_PAID_OVER_AMOUNT_std,3944.717183303833,207.0
PREV_NAME_CLIENT_TYPE_New_MEAN,3928.6161725521088,183.7
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MAX,3864.4961321353912,211.6
LAST_LOAN_PAID_OVER_AMOUNT_min,3859.81099858284,189.1
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,3859.4571378707888,205.3
PREV_NAME_YIELD_GROUP_high_MEAN,3821.443419957161,191.5
REFUSED_CNT_PAYMENT_MAX,3788.709278202057,127.7
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_MEAN,3786.4022739887237,206.9
INS_DPD_VAR,3774.1834141254426,185.7
PREV_ACTIVE_CNT_PAYMENT_SUM,3713.791759443283,163.9
PREV_NAME_TYPE_SUITE_Family_MEAN,3710.61292386055,195.8
CC_PAYMENT_DIV_MIN_MIN,3682.8012114048006,219.9
REFUSED_AMT_APPLICATION_MEAN,3681.038197183609,188.5
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_VAR,3658.7838756561277,212.1
PREV_CHANNEL_TYPE_Creditandcashoffices_MEAN,3636.1546193122863,198.6
APPROVED_HOUR_APPR_PROCESS_START_MIN,3613.866096544266,185.9
PREV_CNT_PAYMENT_MAX,3521.8879305362702,114.0
PREV_ACTIVE_SIMPLE_INTERESTS_MEAN,3504.3728442668917,176.2
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_MEAN,3502.527774429321,194.3
PREV_CHANNEL_TYPE_APCashloan_MEAN,3492.3383991241453,170.5
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MAX,3490.7656851768493,160.3
DOCUMENT_COUNT,3481.4853066921232,147.8
PREV_HOUR_APPR_PROCESS_START_MIN,3461.7232047080993,178.7
INS_PAYMENT_RATIO_MEAN,3445.611953830719,149.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MEAN,3441.7967807769774,91.8
POS_NAME_CONTRACT_STATUS_Signed_MEAN,3441.085415887833,184.5
REG_CITY_NOT_LIVE_CITY,3382.435163974762,140.9
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,3362.3537270069123,174.6
LAST_LOAN_PAID_OVER_AMOUNT_sum,3348.5561958312987,181.0
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_SUM,3341.249516773224,173.9
POS_SK_ID_PREV_NUNIQUE,3264.3567430973053,99.0
PREV_CHANNEL_TYPE_Stone_MEAN,3197.9721908092497,169.0
INS_36M_DPD_MAX,3181.8275713920593,144.8
INS_60M_PAYMENT_RATIO_MEAN,3157.925102853775,131.5
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MAX,3127.7742454528807,135.8
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,3120.3880228042603,156.9
ENTRANCES_MEDI,3088.735208940506,163.7
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,3085.640324497223,136.1
PREV_PRODUCT_COMBINATION_POSindustrywithinterest_MEAN,3073.1780737876893,179.6
PREV_PRODUCT_COMBINATION_CashXSellmiddle_MEAN,3040.0863570690153,162.9
AMT_REQ_CREDIT_BUREAU_QRT,3022.622119617462,158.3
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,3015.1643161296843,157.1
BUREAU_LAST12M_STATUS_0_MEAN,3010.1488959789276,172.5
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,2981.749952173233,179.6
PREV_PRODUCT_COMBINATION_POSmobilewithinterest_MEAN,2913.7161356925963,152.7
LAST_LOAN_PAID_OVER_count,2905.4286546945573,148.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MAX,2874.1006593704224,70.8
BUREAU_LAST12M_AMT_CREDIT_SUM_OVERDUE_MEAN,2838.033278942108,114.7
BUREAU_STATUS_1_MEAN,2836.1645843982697,141.8
PREV_LAST24M_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,2786.9320112228393,131.2
PREV_NAME_PRODUCT_TYPE_xsell_MEAN,2767.0581706523894,142.1
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MEAN,2762.9135315895082,154.7
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,2758.728587627411,140.3
BUREAU_STATUS_12345_MEAN,2756.851203107834,131.2
LATE_PAYMENT_SUM,2729.9662882328034,142.2
CC_PAYMENT_DIV_MIN_MEAN,2719.793553829193,124.6
INS_24M_LIMIT_USE_MAX,2701.8272356033326,90.5
WALLSMATERIAL_MODE,2691.5393900871277,134.7
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,2686.9487937927247,141.3
APPROVED_DAYS_LAST_DUE_MAX,2673.276001214981,133.6
PREV_ACTIVE_CNT_PAYMENT_MEAN,2672.8379204273224,120.9
CC_MONTHS_BALANCE_MIN,2662.6288879871367,138.4
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,2631.2730519771576,137.5
APPROVED_CNT_PAYMENT_MAX,2628.741258239746,101.1
PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,2626.9386887073515,135.7
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MAX,2625.798590564728,142.0
REGION_RATING_CLIENT,2591.8668990135193,96.2
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,2570.160673236847,150.4
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MEAN,2567.4648785591125,111.9
INS_DPD_MAX,2561.0599158763885,131.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MEAN,2503.6057386398315,79.5
POS_SK_DPD_DEF_SUM,2474.6141344070434,109.8
PREV_PRODUCT_COMBINATION_Cash_MEAN,2471.3644864082335,134.1
PREV_LAST24M_NAME_CONTRACT_TYPE_Cashloans_MEAN,2423.736724472046,119.9
POS_LATE_PAYMENT_MEAN,2350.854078102112,124.7
REFUSED_NAME_CONTRACT_TYPE_Cashloans_MEAN,2336.8166020393373,97.0
CC_CNT_DRAWINGS_CURRENT_SUM,2212.123844575882,114.4
INS_60M_DPD_MAX,2208.1674118995666,105.2
FLOORSMAX_MEDI,2206.053725528717,96.2
PREV_LAST24M_NAME_CONTRACT_TYPE_Consumerloans_MEAN,2195.6699954032897,105.1
REFUSED_NAME_CONTRACT_TYPE_Consumerloans_MEAN,2184.4961754322053,81.8
PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,2121.290976381302,119.6
PREV_CHANNEL_TYPE_RegionalLocal_MEAN,2099.954526948929,118.1
CC_AMT_BALANCE_MAX,2087.0787513256073,98.7
POS_SK_DPD_VAR,2065.471389389038,109.6
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,2053.768127679825,104.2
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,2024.6969375610352,106.3
PREV_SK_ID_PREV_NUNIQUE,2002.3071936607362,107.2
INS_48M_CNT_DRAWINGS_ATM_CURRENT_MEAN,2001.4694282054902,48.8
BUREAU_MICROLOAN_DAYS_CREDIT_ENDDATE_MAX,1965.631260585785,75.5
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,1956.8793942451478,97.9
POS_COMPLETED_BEFORE_MEAN,1941.58406996727,104.7
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,1922.1152822494507,61.8
POS_SK_DPD_MEAN,1921.9443253993988,97.9
CC_AMT_DRAWINGS_POS_CURRENT_SUM,1898.525158882141,112.4
INS_DPD_15_MEAN,1889.1560105323792,94.5
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,1874.1714570999145,62.8
CC_AMT_INST_MIN_REGULARITY_MEAN,1857.8041890621184,95.7
PREV_PRODUCT_COMBINATION_CashXSellhigh_MEAN,1851.918275308609,96.5
PREV_CHANNEL_TYPE_Contactcenter_MEAN,1845.730301952362,106.0
INS_60M_DPD_15_MEAN,1840.0139802455901,88.6
CC_AMT_DRAWINGS_CURRENT_MAX,1798.788791179657,92.3
FLOORSMAX_MODE,1746.6699617385864,85.3
POS_NAME_CONTRACT_STATUS_Returnedtothestore_MEAN,1746.0763953208923,93.9
INS_24M_LIMIT_USE_MEAN,1741.4030873298645,57.0
CC_AMT_TOTAL_RECEIVABLE_MEAN,1733.7101509571075,79.7
PREV_PRODUCT_COMBINATION_CashXSelllow_MEAN,1727.6296687602996,93.9
INS_12M_AMT_BALANCE_MEAN,1718.8501064777374,71.1
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MAX,1712.165577983856,52.3
POS_SK_DPD_SUM,1708.2385309696197,95.3
CC_AMT_DRAWINGS_POS_CURRENT_MAX,1679.2873811721802,99.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MAX,1667.1843250751494,48.3
BUREAU_CREDIT_TYPE_Microloan_MEAN,1666.67218170166,54.4
POS_SK_DPD_MAX,1663.7304399490356,88.9
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_MAX,1645.9471165657044,85.5
BUREAU_CAR_AMT_CREDIT_SUM_MAX,1645.5842729091644,101.8
BUREAU_CAR_AMT_CREDIT_SUM_MEAN,1633.5699861049652,100.5
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,1629.2269907474517,89.4
PREV_LAST12M_NAME_CONTRACT_TYPE_Cashloans_MEAN,1585.3462772369385,82.5
CC_AMT_DRAWINGS_CURRENT_SUM,1567.557675075531,79.9
PREV_PRODUCT_COMBINATION_POShouseholdwithoutinterest_MEAN,1566.62187166214,84.8
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,1564.6644453048707,83.5
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,1546.4164672374725,62.2
CC_AMT_INST_MIN_REGULARITY_MAX,1544.4856218338014,77.0
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_SUM,1499.6134484291076,80.2
PREV_PRODUCT_COMBINATION_CardStreet_MEAN,1472.6665133476258,79.9
BUREAU_CAR_DEBT_CREDIT_DIFF_MEAN,1472.3822471618653,82.9
PREV_LAST12M_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,1465.678906726837,78.9
CC_AMT_TOTAL_RECEIVABLE_MAX,1416.9978422164918,67.3
INS_36M_DPD_15_MEAN,1403.8024455070495,65.2
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,1400.1347732067109,63.0
PREV_PRODUCT_COMBINATION_POSmobilewithoutinterest_MEAN,1397.8950743675232,78.5
APPROVED_DAYS_FIRST_DRAWING_MEAN,1395.2517251491547,73.7
REFUSED_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,1390.384870815277,67.5
PREV_PRODUCT_COMBINATION_CardXSell_MEAN,1388.0149081230163,73.4
CC_LATE_PAYMENT_SUM,1378.8340368270874,88.2
BUREAU_CREDIT_ACTIVE_Sold_MEAN,1376.6970135211945,75.3
PREV_PRODUCT_COMBINATION_POSotherwithinterest_MEAN,1374.5461526870727,76.4
FLAG_OWN_CAR,1364.453592300415,31.1
PREV_PRODUCT_COMBINATION_CashStreetmiddle_MEAN,1331.5625298023224,71.5
PREV_LAST12M_NAME_CONTRACT_TYPE_Consumerloans_MEAN,1327.321112060547,66.0
BUREAU_CREDIT_TYPE_Mortgage_MEAN,1324.2459324359893,60.5
PREV_CHANNEL_TYPE_Channelofcorporatesales_MEAN,1299.2083208084107,84.6
BUREAU_CONSUMER_DEBT_PERCENTAGE_MEAN,1278.6369929790496,68.1
INS_48M_LIMIT_USE_MAX,1265.5429909706115,44.3
BUREAU_MORTGAGE_DAYS_CREDIT_MAX,1259.6190539360045,68.1
PREV_NAME_CONTRACT_STATUS_Unusedoffer_MEAN,1239.8397079467773,72.8
APPROVED_SK_ID_PREV_NUNIQUE,1210.1803498268127,57.6
BUREAU_MORTGAGE_DAYS_CREDIT_MEAN,1206.7997628211974,62.3
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,1204.3439688682556,37.2
BUREAU_MICROLOAN_DEBT_CREDIT_DIFF_MEAN,1204.1629899024963,40.3
INS_PAID_OVER_MEAN,1150.3426795959472,60.8
PREV_PRODUCT_COMBINATION_CashStreethigh_MEAN,1148.9511845111847,58.9
NAME_HOUSING_TYPE,1135.816323041916,74.8
PREV_NAME_TYPE_SUITE_Other_B_MEAN,1106.2726788520813,62.7
INS_SK_ID_PREV_NUNIQUE,1091.178016757965,49.8
BUREAU_CAR_DAYS_CREDIT_ENDDATE_MAX,1058.134745311737,62.1
CC_SK_DPD_SUM,1012.8007356643677,66.5
PREV_ACTIVE_AMT_DOWN_PAYMENT_MAX,981.6841998100281,56.0
BUREAU_MORTGAGE_DAYS_CREDIT_ENDDATE_MAX,937.6201526641846,55.1
PREV_NAME_TYPE_SUITE_Children_MEAN,937.2582326889038,55.4
BUREAU_CAR_DAYS_CREDIT_MEAN,904.8730118751525,53.5
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MAX,887.2094268798828,43.3
LAST_LOAN_PAID_OVER_mean,870.7498570919037,50.3
PREV_PRODUCT_COMBINATION_CashStreetlow_MEAN,845.0286338806152,50.2
CC_SK_DPD_MEAN,830.4345890998841,48.8
BUREAU_MORTGAGE_DEBT_CREDIT_DIFF_MEAN,829.5427881717682,48.5
PREV_PRODUCT_COMBINATION_POSindustrywithoutinterest_MEAN,823.1088971614838,58.0
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MEAN,806.3979324817658,39.5
INS_12M_AMT_BALANCE_MAX,793.0261085510253,37.1
BUREAU_LAST6M_STATUS_0_MEAN,785.8061775207519,46.7
PREV_NAME_TYPE_SUITE_Other_A_MEAN,781.4564472198487,44.3
INS_48M_LIMIT_USE_MEAN,768.4028587341309,25.3
INS_24M_AMT_BALANCE_MEAN,745.0175438880921,33.0
BUREAU_CAR_DAYS_CREDIT_MAX,731.370887184143,42.9
BUREAU_MICROLOAN_DEBT_PERCENTAGE_MEAN,724.6314383506775,31.5
BUREAU_CREDIT_TYPE_Carloan_MEAN,714.3163074016571,45.7
PREV_ACTIVE_AMT_DOWN_PAYMENT_MEAN,713.6298177242279,44.4
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MEAN,701.2400136947632,39.8
FLAG_DOCUMENT_8,667.9213994503021,42.1
LAST_LOAN_PAID_OVER_AMOUNT_max,658.371445941925,38.0
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MAX,657.5413827896118,37.5
BUREAU_CAR_DEBT_PERCENTAGE_MEAN,622.0752841949463,35.3
NAME_CONTRACT_TYPE,616.0016127586365,19.7
NAME_TYPE_SUITE,595.2643914222717,41.2
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MAX,554.7175998210907,29.5
BUREAU_LAST12M_STATUS_12345_MEAN,528.1865249633789,30.2
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MEAN,513.794863986969,29.2
POS_NAME_CONTRACT_STATUS_Approved_MEAN,486.2959044456482,28.9
INS_12M_SK_DPD_SUM,484.4748962879181,31.8
BUREAU_MORTGAGE_DEBT_PERCENTAGE_MEAN,424.41675915718076,25.8
PREV_ACTIVE_SK_ID_PREV_NUNIQUE,412.04654989242556,22.9
CC_SK_DPD_MAX,389.6955983161926,22.8
INS_48M_AMT_BALANCE_MEAN,367.5521529197693,16.3
BUREAU_CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,331.4399245262146,23.8
CC_SK_DPD_DEF_SUM,308.0404355049133,18.4
LIVE_CITY_NOT_WORK_CITY,300.21055765151976,18.7
FLAG_DOCUMENT_18,294.46014471054076,18.0
INS_24M_AMT_BALANCE_MAX,287.51205320358275,14.1
INS_24M_SK_DPD_SUM,277.33623056411744,18.5
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MEAN,212.22595987319946,14.9
AMT_REQ_CREDIT_BUREAU_WEEK,182.9182071685791,10.7
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MAX,157.11324791908265,10.9
CC_SK_DPD_DEF_MAX,153.05232305526732,8.6
INS_12M_SK_DPD_MAX,149.0901939868927,9.0
INS_48M_SK_DPD_SUM,148.28954396247863,10.4
INS_48M_AMT_BALANCE_MAX,145.41989316940308,6.8
BUREAU_LAST6M_STATUS_12345_MEAN,110.75817246437073,7.4
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MEAN,88.97464303970337,6.4
LIVE_REGION_NOT_WORK_REGION,82.37403230667114,5.6
INS_24M_SK_DPD_MAX,69.95954704284668,4.3
BUREAU_LAST6M_AMT_CREDIT_SUM_OVERDUE_MEAN,67.08157024383544,3.7
PREV_NAME_TYPE_SUITE_Groupofpeople_MEAN,63.881960487365724,3.6
AMT_REQ_CREDIT_BUREAU_HOUR,54.191700077056886,3.2
PREV_NAME_CLIENT_TYPE_XNA_MEAN,52.592201232910156,3.6
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MAX,44.996080207824704,3.1
PREV_PRODUCT_COMBINATION_POSotherswithoutinterest_MEAN,42.90387010574341,2.6
INS_48M_SK_DPD_MAX,34.25166015625,2.2
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,31.6373291015625,1.7
POS_NAME_CONTRACT_STATUS_Demand_MEAN,25.59257802963257,1.9
APPROVED_DAYS_FIRST_DRAWING_MAX,6.775969982147217,0.4
CC_LATE_PAYMENT_MAX,4.029079914093018,0.3
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MEAN,2.9467500686645507,0.2
PREV_CHANNEL_TYPE_Cardealer_MEAN,2.6632299423217773,0.1
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MAX,0.0,0.0
