feature,gain,split
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MIN,13292.798358869553,558.2
BUREAU_CLOSED_DAYS_CREDIT_VAR,13011.490950489044,613.6
BUREAU_CREDIT_DAYS_CREDIT_MEAN,12981.121683263778,636.8
NAME_FAMILY_STATUS,12866.228586959838,472.7
PREV_APPLICATION_CREDIT_DIFF_MAX,12802.736598157882,389.1
APPROVED_AMT_DOWN_PAYMENT_MAX,12786.034296274185,454.1
BUREAU_LAST12M_AMT_CREDIT_SUM_SUM,12784.80108332634,545.2
PREV_ACTIVE_REMAINING_DEBT_SUM,12767.742095899583,543.0
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MAX,12739.38453950882,585.9
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,12719.320974636077,684.8
PREV_Consumer_AMT_ANNUITY_MEAN,12618.603267908096,604.8
BUREAU_CLOSED_DAYS_CREDIT_MAX,12510.61389322281,633.6
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,12242.62226037979,564.7
REFUSED_DAYS_DECISION_MAX,12067.18357386589,472.9
INS_60M_DAYS_ENTRY_PAYMENT_MIN,11865.1708132267,469.3
INS_60M_LATE_PAYMENT_RATIO_MEAN,11516.316011953353,325.7
INCOME_TO_BIRTH_RATIO,11512.681988859176,603.9
YEARS_BEGINEXPLUATATION_MEDI,11470.229730939865,607.1
BUREAU_DAYS_CREDIT_ENDDATE_MAX,11444.743224954605,565.8
12_TREND_DPD,11429.361841535569,490.1
BUREAU_DAYS_CREDIT_MEAN,11420.706406641006,496.3
INS_36M_AMT_PAYMENT_MIN,11400.522728204727,487.3
BUREAU_CONSUMER_AMT_CREDIT_SUM_MEAN,11381.929351234436,549.8
DAYS_CREDIT_MEAN_TO_EMPLOYED,11322.860184574127,585.8
GROUP_CREDIT_MEAN,11284.892954444886,546.3
INS_60M_DPD_7_MEAN,11225.146788692475,329.5
DAYS_CREDIT_MEAN_TO_BIRTH,11198.153814649582,540.9
BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,11086.302788829804,565.7
GROUP_CREDIT_TO_ANNUITY_STD,11073.766957616806,591.7
INS_36M_DPD_VAR,10870.702392482757,351.4
PREV_Consumer_APPLICATION_CREDIT_RATIO_MEAN,10847.297676038743,482.2
BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,10797.17456073761,505.4
PREV_HOUR_APPR_PROCESS_START_MEAN,10792.102478313445,537.2
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,10770.636174392701,545.0
BUREAU_CREDIT_DAYS_CREDIT_ENDDATE_MAX,10770.451920986176,582.2
GROUP_INCOME_STD,10741.474349164962,565.8
APPROVED_SIMPLE_INTERESTS_MIN,10717.33994755745,380.8
DAYS_DECISION_MEAN_TO_EMPLOYED,10688.234452342987,546.4
TOTALAREA_MODE,10673.42839269638,503.6
GROUP_ANNUITY_STD,10653.43966088295,558.0
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX,10625.899812173844,529.2
BUREAU_LAST12M_AMT_CREDIT_SUM_MAX,10599.284661054611,483.1
BUREAU_CONSUMER_DEBT_CREDIT_DIFF_MEAN,10591.279408502578,542.6
CC_LIMIT_USE_MAX,10549.975470399857,369.1
INS_36M_DAYS_ENTRY_PAYMENT_MEAN,10535.640806531906,498.0
CC_CNT_DRAWINGS_CURRENT_MEAN,10535.62775220871,329.7
CURRENT_TO_APPROVED_CREDIT_MIN_RATIO,10465.590829563142,527.4
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,10453.335355043411,279.3
INS_36M_DAYS_ENTRY_PAYMENT_MIN,10446.971585559844,472.3
GROUP_ANNUITY_MEAN,10417.932565927505,540.1
INS_60M_DAYS_ENTRY_PAYMENT_MEAN,10322.404293584823,464.8
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MIN,10231.192123651505,529.4
NEW_DOC_KURT,10211.83763589859,225.7
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MEAN,10185.084514284134,537.7
INS_36M_DBD_VAR,10099.838625907898,526.4
INS_36M_LATE_PAYMENT_RATIO_MEAN,10089.643240118026,350.0
PREV_ACTIVE_REMAINING_DEBT_MAX,9989.1164809227,429.9
PREV_LAST24M_DAYS_DECISION_MIN,9886.810203933715,517.2
PREV_APPLICATION_CREDIT_RATIO_MEAN,9853.207270050048,418.5
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MEAN,9789.241186237336,467.3
INS_36M_DAYS_ENTRY_PAYMENT_MAX,9756.783678245545,491.5
REGION_RATING_CLIENT_W_CITY,9712.607999181748,317.1
BUREAU_AMT_CREDIT_SUM_MEAN,9646.734785556793,481.3
POS_REMAINING_INSTALMENTS,9637.239120149612,376.9
INS_60M_DBD_VAR,9614.058769750594,501.8
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,9607.664723348618,358.7
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MEAN,9593.695612859727,439.8
BUREAU_CLOSED_AMT_CREDIT_SUM_MAX,9571.687134504318,472.9
PREV_APPLICATION_CREDIT_RATIO_VAR,9566.642829179764,505.4
INS_12M_CNT_DRAWINGS_ATM_CURRENT_MEAN,9557.065554237366,226.8
PREV_DAYS_DECISION_MEAN,9510.246832942963,389.9
LIVINGAREA_AVG,9506.568830871582,445.5
BUREAU_CONSUMER_AMT_CREDIT_SUM_MAX,9494.531465816497,465.0
BUREAU_DAYS_CREDIT_MIN,9454.079777908326,498.0
PREV_LAST24M_DAYS_DECISION_MEAN,9361.927472829819,490.6
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_MEAN,9326.530282020569,431.8
PREV_Consumer_APPLICATION_CREDIT_DIFF_VAR,9315.93937253952,487.4
PREV_Consumer_SIMPLE_INTERESTS_VAR,9303.880364513398,488.3
BUREAU_CONSUMER_DAYS_CREDIT_MEAN,9293.499617671967,471.3
INS_DBD_VAR,9265.200241422654,481.8
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MEAN,9249.569682979583,398.5
BUREAU_DAYS_CREDIT_ENDDATE_MIN,9235.105932950974,473.2
PREV_Cash_DAYS_DECISION_MAX,9228.712471675874,493.7
BUREAU_INCOME_CREDIT_RATIO,9223.466443824767,469.4
PREV_Consumer_SIMPLE_INTERESTS_MIN,9212.31298367977,460.3
PAYMENT_MIN_TO_ANNUITY_RATIO,9154.460710859299,426.4
BUREAU_AMT_CREDIT_SUM_SUM,9143.979874897002,394.5
POS_MONTHS_BALANCE_MIN,9106.001205968856,395.4
INS_DAYS_ENTRY_PAYMENT_MEAN,8887.842057657243,376.1
INS_36M_DBD_MEAN,8879.021773815155,476.3
PREV_Consumer_APPLICATION_CREDIT_RATIO_MIN,8865.85442109108,440.1
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MEAN,8803.197252511978,435.1
PREV_AMT_DOWN_PAYMENT_MAX,8790.97194776535,361.3
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MIN,8655.745927906037,378.7
CTA_CREDIT_TO_ANNUITY_MEAN_RATIO,8652.611250448226,451.1
INS_36M_AMT_INSTALMENT_MIN,8620.71568403244,419.8
PREV_Consumer_SIMPLE_INTERESTS_MEAN,8615.348942756653,442.8
REFUSED_DAYS_DECISION_MEAN,8551.855285310745,317.7
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MAX,8521.421485757828,422.8
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MEAN,8514.149195337295,369.2
PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,8513.001485490799,385.4
PREV_Consumer_APPLICATION_CREDIT_DIFF_MIN,8495.686098718643,440.9
CURRENT_TO_APPROVED_CREDIT_MAX_RATIO,8493.054285383225,384.9
PREV_Consumer_SIMPLE_INTERESTS_MAX,8445.777182722091,446.4
DEF_30_CNT_SOCIAL_CIRCLE,8417.734918355942,279.5
APPROVED_SIMPLE_INTERESTS_MAX,8308.841931295396,425.9
REFUSED_AMT_CREDIT_MIN,8271.726134252549,370.0
PREV_ACTIVE_DAYS_DECISION_MIN,8218.659420871734,425.8
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MAX,8199.788169193267,374.4
INS_60M_DBD_MEAN,8195.137718820572,428.3
PREV_AMT_DOWN_PAYMENT_MEAN,8193.770510387421,389.3
